Time,LABORATORIO_ZONE::Des Heat Load [W],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LABORATORIO_ZONE::Des Heat Mass Flow [kg/s],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LABORATORIO_ZONE::Des Latent Heat Load [W],LABORATORIO_ZONE::Des Latent Cool Load [W],LABORATORIO_ZONE::Des Latent Heat Mass Flow [kg/s],LABORATORIO_ZONE::Des Latent Cool Mass Flow [kg/s],LABORATORIO_ZONE::Des Heat Load No DOAS [W],LABORATORIO_ZONE::Des Sens Cool Load No DOAS [W],LABORATORIO_ZONE::Des Latent Heat Load No DOAS [W],LABORATORIO_ZONE::Des Latent Cool Load No DOAS [W],LABORATORIO_ZONE::Heating Zone Temperature [C],LABORATORIO_ZONE::Heating Zone Relative Humidity [%],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
10:00:00,0.000000E+00,2.479665E+03,0.000000E+00,2.209760E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398443E+01,7.063449E+01
10:10:00,0.000000E+00,2.546890E+03,0.000000E+00,2.269672E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398442E+01,7.014396E+01
10:20:00,0.000000E+00,2.614437E+03,0.000000E+00,2.329870E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398443E+01,6.967285E+01
10:30:00,0.000000E+00,2.682029E+03,0.000000E+00,2.390107E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398443E+01,6.922278E+01
10:40:00,0.000000E+00,2.749406E+03,0.000000E+00,2.450152E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398444E+01,6.879346E+01
10:50:00,0.000000E+00,2.816326E+03,0.000000E+00,2.509787E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398445E+01,6.838410E+01
11:00:00,0.000000E+00,2.882565E+03,0.000000E+00,2.568815E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398446E+01,6.799407E+01
11:10:00,0.000000E+00,2.947535E+03,0.000000E+00,2.626712E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398447E+01,6.762296E+01
11:20:00,0.000000E+00,3.011056E+03,0.000000E+00,2.683316E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398450E+01,6.727606E+01
11:30:00,0.000000E+00,3.072964E+03,0.000000E+00,2.738482E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398453E+01,6.695375E+01
11:40:00,0.000000E+00,3.133108E+03,0.000000E+00,2.792075E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398455E+01,6.665301E+01
11:50:00,0.000000E+00,3.191352E+03,0.000000E+00,2.843974E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398457E+01,6.637064E+01
12:00:00,0.000000E+00,3.247578E+03,0.000000E+00,2.894074E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398458E+01,6.610455E+01
